endereco_tse,cep,Logradouro,Tipo Logradouro,id_bairro
"RUA 25 DE JULHO, S/N - FÓRUM ELEITORAL",85470000,RUA 25 DE JULHO,RUA,62
"RUA SAINT HILAIRE, 187 - FORUM ELEITORAL",84035350,RUA SAINT HILAIRE,RUA,34
"RUA TENENTE CORONEL CARLOS DA SILVA ARAÚJO, 355",4751050,RUA TENENTE CORONEL CARLOS DA SILVA ARAÚJO,RUA,72
RUA CASTORINA DE OLIVEIRA NUNES  - FÓRUM DE MAIRI,44630000,RUA CASTORINA DE OLIVEIRA NUNES  - FÓRUM DE MAIRI,RUA,48
"RUA 01 S, S/N - CENTRO",64740000,RUA 01 S,RUA,20
"RUA CONEGO MENDONCA, 366",65400000,RUA CONEGO MENDONCA,RUA,63
"RUA PRESIDENTE MÉDICI, N 509",45550000,RUA PRESIDENTE MÉDICI,RUA,92
"RUA CELSO FONSECA, S/N - CENTRO",65580000,RUA CELSO FONSECA,RUA,100
RUA HELIO ALVIM 977,38880000,RUA HELIO ALVIM 977,RUA,12
"RUA FRANCISCO CORDEIRO DE OLIVEIRA, 1019",61880970,RUA FRANCISCO CORDEIRO DE OLIVEIRA,RUA,2
"RUA FRANCSICO XAVIER, S/N",69135000,RUA FRANCSICO XAVIER,RUA,55
"PRAÇA DA JUSTIÇA S/N, FÓRUM FRANCISCO POLYCARPO, 2O ANDAR, CENTRO",28400000,PRAÇA DA JUSTIÇA S/N,PRAÇA,10
"RUA CAPITÃO FARIA, 1048 - FÓRUM",15470000,RUA CAPITÃO FARIA,RUA,86
"RUA JUSSARA, 45",98500000,RUA JUSSARA,RUA,25
RUA PAULO SETUBAL 220,12245460,RUA PAULO SETUBAL 220,RUA,63
"RUA DR MÁRIO GUIMARÃES, 968 - ED. DO FÓRUM - ANEXO - 4 ANDAR",26255230,RUA DR MÁRIO GUIMARÃES,RUA,16
RUA FILOMENA NUNES 971,21021380,RUA FILOMENA NUNES 971,RUA,47
"RUA LESTE, 129",56395000,RUA LESTE,RUA,100
"RUA 15 DE NOVEMBRO, 165",56800000,RUA 15 DE NOVEMBRO,RUA,52
"RUA ARISTÓTELES LOBO, N 75",36660000,RUA ARISTÓTELES LOBO,RUA,100
"RUA CAPITÃO FLORINDO JOSÉ DA SILVA, 1374",14500000,RUA CAPITÃO FLORINDO JOSÉ DA SILVA,RUA,39
"RUA DR. CLYBAS PINTO FERRAZ, 75-B",19800040,RUA DR. CLYBAS PINTO FERRAZ,RUA,49
"PRAÇA DO CENTRO CÍVICO, 100",69360000,PRAÇA DO CENTRO CÍVICO,PRAÇA,60
"ESTRADA DA CACUIA, 1574",21921001,ESTRADA DA CACUIA,ESTRADA,74
"RUA ODORILHO FERREIRA, 248",79780000,RUA ODORILHO FERREIRA,RUA,40
RUA CAPITÃO JOÃO EVARISTO - 259,37150000,RUA CAPITÃO JOÃO EVARISTO - 259,RUA,52
"RUA CONS. AVELINO A. VIEIRA, 556 - FORUM DES ERNANI ALMEIDA DE ABREU",84935000,RUA CONS. AVELINO A. VIEIRA,RUA,74
"PRAÇA DR. JOSÉ ARANTES JUNQUEIRA, 01",14300000,PRAÇA DR. JOSÉ ARANTES JUNQUEIRA,PRAÇA,58
"RODOVIA GO-060, ESQ. COM AVENIDA RIO CLARO, Q. 13, L. 1-5",76205000,RODOVIA GO-060,RODOVIA,42
"RUA DR. ERNESTO ALVES,  N. 203",96225000,RUA DR. ERNESTO ALVES,RUA,8
"RUA SÃO JOSÉ, 940",13400330,RUA SÃO JOSÉ,RUA,99
"RUA DR. MONTEIRO, 1320 - SALA 116",96330000,RUA DR. MONTEIRO,RUA,23
"RUA REGENTE FEIJÓ, S/N - PALÁCIO DA JUSTIÇA - SALA 406",13013900,RUA REGENTE FEIJÓ,RUA,76
ESTRADA DO CORREIO IMPERIAL - 1003,28735000,ESTRADA DO CORREIO IMPERIAL - 1003,ESTRADA,28
"RUA DR. EMÍLIO MARTINS RIBEIRO, S/N",11850000,RUA DR. EMÍLIO MARTINS RIBEIRO,RUA,65
"RUA FRANCISCO FIGUEIREDO, 250 - 1 ANDAR - SL 03",39620000,RUA FRANCISCO FIGUEIREDO,RUA,31
"RUA ALAGOAS, 80",86380000,RUA ALAGOAS,RUA,38
"ESTRADA DO CAMBOATÁ, 2300, SALAS 204, GUADALUPE SHOPPING",21665001,ESTRADA DO CAMBOATÁ,ESTRADA,67
"RUA BONIFÁCIO PEREIRA DE SOUZA, S/N",49800000,RUA BONIFÁCIO PEREIRA DE SOUZA,RUA,90
"RUA VEREADOR JÉSUS MARTINS, 86",35519000,RUA VEREADOR JÉSUS MARTINS,RUA,53
"RUA 06, QUADRA AE1, LT AE1",73700000,RUA 06,RUA,60
"RUA CONEGO MENDONCA, 366",65400000,RUA CONEGO MENDONCA,RUA,62
"RUA PERCILIO SANTANA, 740",47990000,RUA PERCILIO SANTANA,RUA,23
"RUA DA BARONESA, S/N - CENTRO",65360000,RUA DA BARONESA,RUA,77
"RUA BRIGADEIRO ROCHA, 1046 - FORUM ELEITORAL",85015590,RUA BRIGADEIRO ROCHA,RUA,88
"RUA IPIRANGA, 84",7600000,RUA IPIRANGA,RUA,57
"RUA ALFREDO BENTO, N 160",87345000,RUA ALFREDO BENTO,RUA,53
"RUA JOÃO RIBEIRO, 01",39560000,RUA JOÃO RIBEIRO,RUA,93
